ts_sumo;D8_0;D7_0;D1_2;D1_1;D1_0;D6_1;D2_1;D6_0;D5_0;D3_1;D3_0;D7_1;D2_0;D4_0;D5_2;D5_1;D3_2;D4_1;D8_1;D7_2
0.00;51;46;0;2;29;6;7;55;24;11;53;9;51;58;0;1;0;10;9;1
900.00;73;52;1;7;44;9;5;42;31;13;83;13;50;54;0;4;0;6;23;1
1800.00;69;60;0;6;30;5;11;47;40;13;87;13;55;52;0;3;1;11;10;1
2700.00;78;72;0;8;42;6;1;45;44;21;87;12;38;63;0;10;1;13;24;1
